trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
344,False,"{'a': 0.002, 'e': 0.3119999999999994}",20,4,18.72668422136617,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
345,False,"{'a': 0.002, 'e': 0.3099999999999994}",25,0,-50.43730992759541,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
346,False,"{'a': 0.002, 'e': 0.3079999999999994}",20,0,6.201028152088039,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
347,False,"{'a': 0.002, 'e': 0.3059999999999994}",25,12,-19.18174043419528,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 0}",1
348,False,"{'a': 0.002, 'e': 0.3039999999999994}",30,18,-3.315191461994478,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
349,False,"{'a': 0.002, 'e': 0.3019999999999994}",25,0,16.77563015099463,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
350,False,"{'a': 0.002, 'e': 0.2999999999999994}",25,17,-2.1091651535873783,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
351,False,"{'a': 0.002, 'e': 0.2979999999999994}",20,14,11.154667099751608,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
352,False,"{'a': 0.002, 'e': 0.2959999999999994}",20,3,-46.78535328457159,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 1}",1
353,False,"{'a': 0.002, 'e': 0.2939999999999994}",20,15,10.91392560981365,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
354,False,"{'a': 0.002, 'e': 0.29199999999999937}",35,5,23.368632225602713,"{0: 27, 1: 1, 2: 2, 3: 0, 4: 0}",1
355,False,"{'a': 0.002, 'e': 0.28999999999999937}",30,12,31.679365149026687,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
356,False,"{'a': 0.002, 'e': 0.28799999999999937}",25,5,12.911428860144017,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
357,False,"{'a': 0.002, 'e': 0.28599999999999937}",25,8,5.686476269906617,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
358,False,"{'a': 0.002, 'e': 0.28399999999999936}",20,7,11.470873659476254,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
359,False,"{'a': 0.002, 'e': 0.28199999999999936}",20,0,15.703231441295278,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
360,False,"{'a': 0.002, 'e': 0.27999999999999936}",30,18,-2.6576526258139515,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
361,False,"{'a': 0.002, 'e': 0.27799999999999936}",20,0,-45.7392128730582,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
362,False,"{'a': 0.002, 'e': 0.27599999999999936}",20,6,-7.538846087162604,"{0: 12, 1: 1, 2: 0, 3: 1, 4: 0}",1
363,False,"{'a': 0.002, 'e': 0.27399999999999936}",25,10,-64.41326270328783,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 2}",1
364,False,"{'a': 0.002, 'e': 0.27199999999999935}",20,2,-24.807257095547175,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 1}",1
365,False,"{'a': 0.002, 'e': 0.26999999999999935}",20,3,-27.002576510778393,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
366,False,"{'a': 0.002, 'e': 0.26799999999999935}",25,17,-4.791545590628282,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
367,False,"{'a': 0.002, 'e': 0.26599999999999935}",20,0,-12.298429415514573,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
368,False,"{'a': 0.002, 'e': 0.26399999999999935}",25,0,27.171490535061636,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",1
369,False,"{'a': 0.002, 'e': 0.26199999999999934}",30,17,14.515722264950181,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
370,False,"{'a': 0.002, 'e': 0.25999999999999934}",25,11,-19.613363104515347,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 0}",1
371,False,"{'a': 0.002, 'e': 0.25799999999999934}",30,17,11.14062354881649,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
372,False,"{'a': 0.002, 'e': 0.25599999999999934}",30,18,-2.480542139049399,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
373,False,"{'a': 0.002, 'e': 0.25399999999999934}",30,0,-28.61596081710855,"{0: 25, 1: 0, 2: 4, 3: 1, 4: 0}",0
374,False,"{'a': 0.002, 'e': 0.25199999999999934}",20,10,11.453771816384666,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
375,False,"{'a': 0.002, 'e': 0.24999999999999933}",20,6,24.21962948772542,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
376,False,"{'a': 0.002, 'e': 0.24799999999999933}",20,3,-49.16048476020482,"{0: 13, 1: 2, 2: 0, 3: 1, 4: 1}",1
377,False,"{'a': 0.002, 'e': 0.24599999999999933}",20,2,14.296248445775422,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
378,False,"{'a': 0.002, 'e': 0.24399999999999933}",20,11,19.041736183812226,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
379,False,"{'a': 0.002, 'e': 0.24199999999999933}",30,19,-4.210831938373338,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
380,False,"{'a': 0.002, 'e': 0.23999999999999932}",20,0,-12.54527704249338,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
381,False,"{'a': 0.002, 'e': 0.23799999999999932}",30,10,-45.653306488480204,"{0: 17, 1: 0, 2: 0, 3: 2, 4: 1}",1
382,False,"{'a': 0.002, 'e': 0.23599999999999932}",20,10,8.329547878604899,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
383,False,"{'a': 0.002, 'e': 0.23399999999999932}",20,6,19.478686976679338,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
384,False,"{'a': 0.002, 'e': 0.23199999999999932}",30,13,10.138826279167692,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
385,False,"{'a': 0.002, 'e': 0.22999999999999932}",25,11,23.46750886063878,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
386,False,"{'a': 0.002, 'e': 0.22799999999999931}",20,11,-5.989999391527899,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
387,False,"{'a': 0.002, 'e': 0.2259999999999993}",20,7,-19.711004512615535,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
388,False,"{'a': 0.002, 'e': 0.2239999999999993}",25,0,-2.2954005199480108,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
389,False,"{'a': 0.002, 'e': 0.2219999999999993}",25,0,-19.008363588047985,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
390,False,"{'a': 0.002, 'e': 0.2199999999999993}",20,7,20.57610548958199,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
391,False,"{'a': 0.002, 'e': 0.2179999999999993}",20,9,5.164009158404088,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
392,False,"{'a': 0.002, 'e': 0.2159999999999993}",30,19,-18.795292425184005,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
393,False,"{'a': 0.002, 'e': 0.2139999999999993}",25,3,37.94752034828597,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
394,False,"{'a': 0.002, 'e': 0.2119999999999993}",20,14,4.545280302063272,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
395,False,"{'a': 0.002, 'e': 0.2099999999999993}",25,16,16.2460124253145,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
396,False,"{'a': 0.002, 'e': 0.2079999999999993}",20,16,7.707369100224019,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
397,False,"{'a': 0.002, 'e': 0.2059999999999993}",20,5,1.3999797471651023,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
398,False,"{'a': 0.002, 'e': 0.2039999999999993}",25,15,-23.55045847614021,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
399,False,"{'a': 0.002, 'e': 0.2019999999999993}",20,0,33.587442732602184,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
400,False,"{'a': 0.002, 'e': 0.1999999999999993}",20,16,8.874431239281076,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
401,False,"{'a': 0.002, 'e': 0.1979999999999993}",30,17,-44.396606334290176,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 1}",1
402,False,"{'a': 0.002, 'e': 0.19599999999999929}",25,6,-45.44554704839091,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 1}",1
403,False,"{'a': 0.002, 'e': 0.19399999999999928}",25,11,19.791769442541998,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
404,False,"{'a': 0.002, 'e': 0.19199999999999928}",20,4,-10.265868470031458,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 0}",1
405,False,"{'a': 0.002, 'e': 0.18999999999999928}",30,0,5.063639439718548,"{0: 26, 1: 2, 2: 2, 3: 0, 4: 0}",0
