trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
41,False,"{'a': 0.003041558, 'e': 0.9926082642314964}",30,0,-172.48674321275735,"{0: 18, 1: 4, 2: 5, 3: 0, 4: 3}",0
42,False,"{'a': 0.003041558, 'e': 0.9922345426581562}",20,0,-110.6545311742577,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
43,False,"{'a': 0.003041558, 'e': 0.9918516418556541}",25,3,-89.83137682230802,"{0: 13, 1: 4, 2: 3, 3: 1, 4: 1}",1
44,False,"{'a': 0.003041558, 'e': 0.9914595653662313}",20,0,-51.70332130054531,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
45,False,"{'a': 0.003041558, 'e': 0.9910583168170138}",20,0,-78.31564818212331,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
46,False,"{'a': 0.003041558, 'e': 0.9906478999199795}",20,0,-100.58002185795216,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
47,False,"{'a': 0.003041558, 'e': 0.9902283184719228}",20,9,-48.35140948773225,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
48,False,"{'a': 0.003041558, 'e': 0.9897995763544204}",30,0,-82.90732475086281,"{0: 18, 1: 5, 2: 6, 3: 1, 4: 0}",0
49,False,"{'a': 0.003041558, 'e': 0.9893616775337944}",25,0,-122.75314574857468,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
50,False,"{'a': 0.003041558, 'e': 0.9889146260610769}",25,0,-115.25586517324966,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
51,False,"{'a': 0.003041558, 'e': 0.9884584260719713}",25,0,-145.6628558988511,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
52,False,"{'a': 0.003041558, 'e': 0.9879930817868148}",35,0,-176.513221935665,"{0: 17, 1: 5, 2: 11, 3: 1, 4: 1}",0
53,False,"{'a': 0.003041558, 'e': 0.9875185975105387}",20,12,-22.450806294827277,"{0: 5, 1: 0, 2: 3, 3: 0, 4: 0}",1
54,False,"{'a': 0.003041558, 'e': 0.9870349776326295}",20,0,-88.82520308431063,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
55,False,"{'a': 0.003041558, 'e': 0.9865422266270876}",20,0,-87.35101554703414,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
56,False,"{'a': 0.003041558, 'e': 0.9860403490523858}",20,0,-114.37045669064439,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
57,False,"{'a': 0.003041558, 'e': 0.9855293495514278}",20,0,-21.790957200977708,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
58,False,"{'a': 0.003041558, 'e': 0.9850092328515048}",30,0,-136.74467851219953,"{0: 18, 1: 6, 2: 3, 3: 1, 4: 2}",0
59,False,"{'a': 0.003041558, 'e': 0.9844800037642514}",30,1,-84.8877806639089,"{0: 21, 1: 1, 2: 5, 3: 1, 4: 1}",1
60,False,"{'a': 0.003041558, 'e': 0.9839416671856022}",20,0,-108.88889788954839,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
61,False,"{'a': 0.003041558, 'e': 0.9833942280957452}",25,0,-145.54560592623076,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
62,False,"{'a': 0.003041558, 'e': 0.9828376915590767}",25,0,-210.1702816053607,"{0: 8, 1: 6, 2: 7, 3: 2, 4: 2}",0
63,False,"{'a': 0.003041558, 'e': 0.982272062724154}",30,0,-236.72041766351552,"{0: 13, 1: 2, 2: 12, 3: 0, 4: 3}",0
64,False,"{'a': 0.003041558, 'e': 0.981697346823648}",20,0,-161.2796770804551,"{0: 10, 1: 4, 2: 3, 3: 0, 4: 3}",0
65,False,"{'a': 0.003041558, 'e': 0.9811135491742944}",30,0,-171.62447237800689,"{0: 15, 1: 3, 2: 9, 3: 2, 4: 1}",0
66,False,"{'a': 0.003041558, 'e': 0.9805206751768449}",25,0,-199.37570022047717,"{0: 11, 1: 4, 2: 7, 3: 0, 4: 3}",0
67,False,"{'a': 0.003041558, 'e': 0.9799187303160172}",20,0,-124.79462605491338,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
68,False,"{'a': 0.003041558, 'e': 0.9793077201604441}",20,0,-116.38182079113028,"{0: 9, 1: 4, 2: 5, 3: 1, 4: 1}",0
69,False,"{'a': 0.003041558, 'e': 0.9786876503626221}",20,0,-50.13913789246656,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
70,False,"{'a': 0.003041558, 'e': 0.9780585266588588}",25,0,-35.24649331842718,"{0: 20, 1: 2, 2: 1, 3: 2, 4: 0}",0
71,False,"{'a': 0.003041558, 'e': 0.9774203548692205}",20,0,-170.29752984443792,"{0: 8, 1: 3, 2: 6, 3: 1, 4: 2}",0
72,False,"{'a': 0.003041558, 'e': 0.9767731408974779}",20,0,-156.3163647620907,"{0: 9, 1: 1, 2: 8, 3: 0, 4: 2}",0
73,False,"{'a': 0.003041558, 'e': 0.9761168907310512}",30,0,-184.8012660000523,"{0: 15, 1: 4, 2: 8, 3: 1, 4: 2}",0
74,False,"{'a': 0.003041558, 'e': 0.9754516104409554}",30,0,-45.71182493609005,"{0: 22, 1: 2, 2: 6, 3: 0, 4: 0}",0
75,False,"{'a': 0.003041558, 'e': 0.9747773061817435}",25,0,-117.06921844617065,"{0: 13, 1: 4, 2: 7, 3: 0, 4: 1}",0
