trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
115,False,"{'a': 0.006007875, 'e': 0.5041417754360368}",30,11,7.678050995609362,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 0}",1
116,False,"{'a': 0.006007875, 'e': 0.5011220348619023}",25,11,12.66617412198776,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.006007875, 'e': 0.49812038212253834}",25,4,-137.91826056935946,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 3}",1
118,False,"{'a': 0.006007875, 'e': 0.4951367088742783}",30,0,-47.05990795633405,"{0: 25, 1: 1, 2: 3, 3: 0, 4: 1}",0
119,False,"{'a': 0.006007875, 'e': 0.49217090742241904}",25,0,-64.87705930384125,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
120,False,"{'a': 0.006007875, 'e': 0.48922287071733417}",20,12,0.5434126130755612,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
121,False,"{'a': 0.006007875, 'e': 0.4862924923506099}",20,15,-2.3480647118046383,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
122,False,"{'a': 0.006007875, 'e': 0.48337966655120446}",20,0,-2.1078002038048798,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
123,False,"{'a': 0.006007875, 'e': 0.48048428818163014}",20,12,16.045670915321637,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.006007875, 'e': 0.47760625273415847}",25,0,-91.7175243386579,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 2}",0
125,False,"{'a': 0.006007875, 'e': 0.474745456327048}",20,5,-69.13801546054829,"{0: 9, 1: 1, 2: 4, 3: 0, 4: 1}",1
126,False,"{'a': 0.006007875, 'e': 0.4719017957007949}",20,6,-93.10867526449641,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 2}",1
127,False,"{'a': 0.006007875, 'e': 0.46907516821440554}",20,1,4.006576035404889,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 0}",1
128,False,"{'a': 0.006007875, 'e': 0.4662654718416919}",25,0,-72.32451054547926,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
129,False,"{'a': 0.006007875, 'e': 0.4634726051675891}",25,13,6.7750533902694015,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
130,False,"{'a': 0.006007875, 'e': 0.46069646738449443}",20,6,-37.49736611420959,"{0: 10, 1: 0, 2: 3, 3: 1, 4: 0}",1
131,False,"{'a': 0.006007875, 'e': 0.4579369582886291}",30,0,14.828132469284432,"{0: 27, 1: 3, 2: 0, 3: 0, 4: 0}",0
132,False,"{'a': 0.006007875, 'e': 0.4551939782764215}",20,5,-29.993006023391256,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
