trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
41,False,"{'a': 0.006007875, 'e': 0.7863801123127947}",25,0,-110.10735999118778,"{0: 13, 1: 3, 2: 7, 3: 2, 4: 0}",0
42,False,"{'a': 0.006007875, 'e': 0.7816698025397363}",20,0,-96.33291931057747,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
43,False,"{'a': 0.006007875, 'e': 0.7769877068807057}",20,0,-89.29940442481666,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
44,False,"{'a': 0.006007875, 'e': 0.7723336563370029}",20,0,-65.036706785216,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
45,False,"{'a': 0.006007875, 'e': 0.7677074829222064}",20,0,-129.98358686726883,"{0: 12, 1: 3, 2: 1, 3: 2, 4: 2}",0
46,False,"{'a': 0.006007875, 'e': 0.7631090196561106}",25,0,-116.52487244760344,"{0: 15, 1: 7, 2: 0, 3: 1, 4: 2}",0
47,False,"{'a': 0.006007875, 'e': 0.758538100558699}",20,0,-13.107456791969334,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
48,False,"{'a': 0.006007875, 'e': 0.7539945606441523}",20,8,-54.32995762755692,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 1}",1
49,False,"{'a': 0.006007875, 'e': 0.7494782359148942}",20,0,-111.2961388643407,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
50,False,"{'a': 0.006007875, 'e': 0.7449889633556711}",25,15,-71.91089903966295,"{0: 5, 1: 0, 2: 4, 3: 0, 4: 1}",1
51,False,"{'a': 0.006007875, 'e': 0.740526580927669}",25,0,-87.97937125910605,"{0: 14, 1: 4, 2: 6, 3: 1, 4: 0}",0
52,False,"{'a': 0.006007875, 'e': 0.736090927562664}",30,0,-98.73384046384803,"{0: 20, 1: 4, 2: 4, 3: 1, 4: 1}",0
53,False,"{'a': 0.006007875, 'e': 0.7316818431572093}",20,0,-124.41925980688146,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
54,False,"{'a': 0.006007875, 'e': 0.7272991685668555}",20,0,-51.67610482857304,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
55,False,"{'a': 0.006007875, 'e': 0.722942745600407}",20,0,-83.70069122331788,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
56,False,"{'a': 0.006007875, 'e': 0.7186124170142121}",20,0,-82.52156665003946,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 1}",0
57,False,"{'a': 0.006007875, 'e': 0.7143080265064866}",20,0,-104.70266366091985,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
58,False,"{'a': 0.006007875, 'e': 0.7100294187116734}",20,0,-13.669469118968566,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
59,False,"{'a': 0.006007875, 'e': 0.7057764391948333}",30,0,-134.48549658532357,"{0: 17, 1: 1, 2: 11, 3: 0, 4: 1}",0
60,False,"{'a': 0.006007875, 'e': 0.701548934446072}",25,0,-114.76648004917394,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
61,False,"{'a': 0.006007875, 'e': 0.697346751874998}",20,0,-38.52663742001547,"{0: 15, 1: 3, 2: 0, 3: 2, 4: 0}",0
62,False,"{'a': 0.006007875, 'e': 0.6931697398052155}",25,0,-98.05932778332195,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
63,False,"{'a': 0.006007875, 'e': 0.68901774746885}",25,0,-70.64113194176471,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
64,False,"{'a': 0.006007875, 'e': 0.684890625001106}",20,0,-40.450045879651256,"{0: 13, 1: 5, 2: 1, 3: 1, 4: 0}",0
65,False,"{'a': 0.006007875, 'e': 0.6807882234348572}",25,0,-265.09058819152335,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 5}",0
66,False,"{'a': 0.006007875, 'e': 0.6767103946952707}",30,0,-135.57621863542266,"{0: 19, 1: 2, 2: 5, 3: 3, 4: 1}",0
67,False,"{'a': 0.006007875, 'e': 0.6726569915944616}",20,0,-46.34373888871541,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
68,False,"{'a': 0.006007875, 'e': 0.6686278678261798}",25,0,-84.1911951017363,"{0: 14, 1: 4, 2: 6, 3: 1, 4: 0}",0
69,False,"{'a': 0.006007875, 'e': 0.6646228779605305}",25,0,-80.44344584899927,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
70,False,"{'a': 0.006007875, 'e': 0.6606418774387237}",20,14,-40.05109605020023,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 1}",1
71,False,"{'a': 0.006007875, 'e': 0.6566847225678569}",20,0,-18.96565344556189,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
72,False,"{'a': 0.006007875, 'e': 0.6527512705157287}",20,0,-87.7365793749738,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
73,False,"{'a': 0.006007875, 'e': 0.6488413793056829}",20,0,-16.936106607647254,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
74,False,"{'a': 0.006007875, 'e': 0.6449549078114843}",25,0,-56.268018082360925,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
75,False,"{'a': 0.006007875, 'e': 0.6410917157522248}",20,0,-8.299505053515858,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
76,False,"{'a': 0.006007875, 'e': 0.6372516636872593}",30,0,-113.96834154068347,"{0: 22, 1: 1, 2: 5, 3: 0, 4: 2}",0
77,False,"{'a': 0.006007875, 'e': 0.6334346130111735}",25,0,-127.89562046574343,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
78,False,"{'a': 0.006007875, 'e': 0.629640425948781}",25,2,-69.84371117662116,"{0: 16, 1: 3, 2: 3, 3: 0, 4: 1}",1
79,False,"{'a': 0.006007875, 'e': 0.6258689655501493}",20,0,-64.957610846001,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
80,False,"{'a': 0.006007875, 'e': 0.6221200956856577}",25,0,-14.007333201056024,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
81,False,"{'a': 0.006007875, 'e': 0.6183936810410836}",20,0,-22.719480794542157,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
82,False,"{'a': 0.006007875, 'e': 0.6146895871127178}",20,0,-173.34509961402202,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 3}",0
83,False,"{'a': 0.006007875, 'e': 0.6110076802025103}",25,16,-15.908694852743768,"{0: 5, 1: 3, 2: 1, 3: 0, 4: 0}",1
